,high_mean
2023-06-30-06:30,129
2023-06-30-06:45,129
2023-06-30-07:00,126
2023-06-30-07:15,126
2023-06-30-07:30,126
2023-06-30-07:45,126
2023-06-30-08:00,131
2023-06-30-08:15,136
2023-06-30-08:30,136
2023-06-30-08:45,145
2023-06-30-09:00,162
2023-06-30-09:15,171
2023-06-30-09:30,182
2023-06-30-09:45,195
2023-06-30-10:00,208
2023-06-30-10:15,219
2023-06-30-10:30,213
2023-06-30-10:45,231
2023-06-30-11:00,243
2023-06-30-11:15,254
2023-06-30-11:30,264
2023-06-30-11:45,274
2023-06-30-12:00,277
2023-06-30-12:15,275
2023-06-30-12:30,275
2023-06-30-12:45,275
2023-06-30-13:00,275
2023-06-30-13:15,275
2023-06-30-13:30,275
2023-06-30-13:45,274
2023-06-30-14:00,276
2023-06-30-14:15,272
2023-06-30-14:30,261
2023-06-30-14:45,267
2023-06-30-15:00,265
2023-06-30-15:15,265
2023-06-30-15:30,265
2023-06-30-15:45,256
2023-06-30-16:00,250
2023-06-30-16:15,250
2023-06-30-16:30,250
2023-06-30-16:45,251
2023-06-30-17:00,257
2023-06-30-17:15,269
2023-06-30-17:30,294
2023-06-30-17:45,332
2023-06-30-18:00,353
2023-06-30-18:15,413
2023-06-30-18:30,475
2023-06-30-18:45,539
2023-06-30-19:00,574
2023-06-30-19:15,591
2023-06-30-19:30,599
2023-06-30-19:45,599
2023-06-30-20:00,607
2023-06-30-20:15,612
2023-06-30-20:30,612
2023-06-30-20:45,599
2023-06-30-21:00,587
2023-06-30-21:15,586
2023-06-30-21:30,586
2023-06-30-21:45,571
2023-06-30-22:00,553
2023-06-30-22:15,552
2023-06-30-22:30,548
2023-06-30-22:45,514
2023-06-30-23:00,455
2023-06-30-23:15,452
2023-06-30-23:30,452
2023-06-30-23:45,450
