,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-28-20:30,386,337,366,419,377.0,376.0,402.5,419.0
2023-06-28-20:45,386,337,366,419,377.0,376.0,402.5,419.0
2023-06-28-21:00,376,304,366,418,366.0,371.0,397.0,418.0
2023-06-28-21:15,376,304,355,418,363.25,365.5,397.0,418.0
2023-06-28-21:30,376,304,349,418,361.75,362.5,397.0,418.0
2023-06-28-21:45,376,304,349,418,361.75,362.5,397.0,418.0
2023-06-28-22:00,382,307,318,318,331.25,318.0,350.0,382.0
2023-06-28-22:15,386,307,318,318,332.25,318.0,352.0,386.0
2023-06-28-22:30,386,302,312,318,329.5,315.0,352.0,386.0
2023-06-28-22:45,373,302,312,318,326.25,315.0,345.5,373.0
2023-06-28-23:00,363,286,304,303,314.0,303.5,333.5,363.0
2023-06-28-23:15,364,286,304,302,314.0,303.0,334.0,364.0
2023-06-28-23:30,364,286,304,302,314.0,303.0,334.0,364.0
2023-06-28-23:45,360,286,304,302,313.0,303.0,332.0,360.0
2023-06-29-00:00,351,328,282,301,315.5,314.5,339.5,351.0
2023-06-29-00:15,351,328,293,301,318.25,314.5,339.5,351.0
2023-06-29-00:30,345,328,293,301,316.75,314.5,336.5,345.0
2023-06-29-00:45,345,328,293,301,316.75,314.5,336.5,345.0
2023-06-29-01:00,343,323,290,301,314.25,312.0,333.0,343.0
2023-06-29-01:15,342,323,285,301,312.75,312.0,332.5,342.0
2023-06-29-01:30,342,323,285,301,312.75,312.0,332.5,342.0
2023-06-29-01:45,342,323,285,300,312.5,311.5,332.5,342.0
2023-06-29-02:00,338,325,282,300,311.25,312.5,331.5,338.0
2023-06-29-02:15,338,325,282,298,310.75,311.5,331.5,338.0
2023-06-29-02:30,338,325,282,298,310.75,311.5,331.5,338.0
2023-06-29-02:45,338,325,282,298,310.75,311.5,331.5,338.0
2023-06-29-03:00,336,323,282,303,311.0,313.0,329.5,336.0
2023-06-29-03:15,336,323,282,303,311.0,313.0,329.5,336.0
2023-06-29-03:30,336,317,282,303,309.5,310.0,326.5,336.0
2023-06-29-03:45,336,319,282,303,310.0,311.0,327.5,336.0
2023-06-29-04:00,334,301,282,298,303.75,299.5,317.5,334.0
2023-06-29-04:15,334,301,282,298,303.75,299.5,317.5,334.0
2023-06-29-04:30,334,301,282,298,303.75,299.5,317.5,334.0
2023-06-29-04:45,333,301,282,298,303.5,299.5,317.0,333.0
2023-06-29-05:00,333,315,285,303,309.0,309.0,324.0,333.0
2023-06-29-05:15,333,315,285,303,309.0,309.0,324.0,333.0
2023-06-29-05:30,333,315,285,303,309.0,309.0,324.0,333.0
2023-06-29-05:45,333,315,285,303,309.0,309.0,324.0,333.0
2023-06-29-06:00,335,314,286,303,309.5,308.5,324.5,335.0
2023-06-29-06:15,335,314,286,303,309.5,308.5,324.5,335.0
2023-06-29-06:30,335,320,286,303,311.0,311.5,327.5,335.0
2023-06-29-06:45,349,320,286,303,314.5,311.5,334.5,349.0
2023-06-29-07:00,349,321,286,305,315.25,313.0,335.0,349.0
2023-06-29-07:15,349,303,286,305,310.75,304.0,327.0,349.0
2023-06-29-07:30,350,315,286,305,314.0,310.0,332.5,350.0
2023-06-29-07:45,350,315,288,305,314.5,310.0,332.5,350.0
2023-06-29-08:00,353,327,306,318,326.0,322.5,340.0,353.0
2023-06-29-08:15,389,327,306,322,336.0,324.5,358.0,389.0
2023-06-29-08:30,399,327,306,322,338.5,324.5,363.0,399.0
2023-06-29-08:45,407,327,326,322,345.5,326.5,367.0,407.0
2023-06-29-09:00,354,319,372,422,366.75,363.0,397.0,422.0
2023-06-29-09:15,354,319,374,422,367.25,364.0,398.0,422.0
2023-06-29-09:30,364,319,358,422,365.75,361.0,393.0,422.0
2023-06-29-09:45,373,319,358,422,368.0,365.5,397.5,422.0
2023-06-29-10:00,352,293,330,396,342.75,341.0,374.0,396.0
2023-06-29-10:15,352,293,330,396,342.75,341.0,374.0,396.0
2023-06-29-10:30,316,293,330,396,333.75,323.0,363.0,396.0
2023-06-29-10:45,327,293,335,396,337.75,331.0,365.5,396.0
2023-06-29-11:00,354,293,335,400,345.5,344.5,377.0,400.0
2023-06-29-11:15,354,318,335,399,351.5,344.5,376.5,399.0
2023-06-29-11:30,354,318,335,399,351.5,344.5,376.5,399.0
2023-06-29-11:45,354,318,335,399,351.5,344.5,376.5,399.0
2023-06-29-12:00,392,318,384,399,373.25,388.0,395.5,399.0
2023-06-29-12:15,392,318,369,421,375.0,380.5,406.5,421.0
2023-06-29-12:30,392,318,369,421,375.0,380.5,406.5,421.0
2023-06-29-12:45,392,318,369,421,375.0,380.5,406.5,421.0
2023-06-29-13:00,360,327,353,418,364.5,356.5,389.0,418.0
2023-06-29-13:15,364,327,353,418,365.5,358.5,391.0,418.0
2023-06-29-13:30,364,327,347,418,364.0,355.5,391.0,418.0
2023-06-29-13:45,364,327,347,418,364.0,355.5,391.0,418.0
2023-06-29-14:00,344,327,347,396,353.5,345.5,371.5,396.0
2023-06-29-14:15,344,327,361,396,357.0,352.5,378.5,396.0
2023-06-29-14:30,344,327,361,396,357.0,352.5,378.5,396.0
2023-06-29-14:45,344,327,361,396,357.0,352.5,378.5,396.0
2023-06-29-15:00,340,324,359,396,354.75,349.5,377.5,396.0
2023-06-29-15:15,340,324,359,396,354.75,349.5,377.5,396.0
2023-06-29-15:30,340,324,359,396,354.75,349.5,377.5,396.0
2023-06-29-15:45,340,324,359,396,354.75,349.5,377.5,396.0
2023-06-29-16:00,338,286,325,375,331.0,331.5,356.5,375.0
