,전체기간,절반기간,쿼터기간,피자기간,평균,중앙값,high_mean,max
2023-06-26-05:30,23,38,22,38,30.25,30.5,38.0,38.0
2023-06-26-05:45,22,38,22,38,30.0,30.0,38.0,38.0
2023-06-26-06:00,23,22,21,22,22.0,22.0,22.5,23.0
2023-06-26-06:15,24,22,21,22,22.25,22.0,23.0,24.0
2023-06-26-06:30,23,22,21,22,22.0,22.0,22.5,23.0
2023-06-26-06:45,23,25,20,22,22.5,22.5,24.0,25.0
2023-06-26-07:00,22,21,19,22,21.0,21.5,22.0,22.0
2023-06-26-07:15,22,21,20,22,21.25,21.5,22.0,22.0
2023-06-26-07:30,23,23,21,23,22.5,23.0,23.0,23.0
2023-06-26-07:45,23,24,21,23,22.75,23.0,23.5,24.0
2023-06-26-08:00,23,27,42,29,30.25,28.0,35.5,42.0
2023-06-26-08:15,28,29,41,32,32.5,30.5,36.5,41.0
2023-06-26-08:30,28,31,39,33,32.75,32.0,36.0,39.0
2023-06-26-08:45,28,35,39,38,35.0,36.5,38.5,39.0
2023-06-26-09:00,40,36,54,67,49.25,47.0,60.5,67.0
2023-06-26-09:15,49,48,54,67,54.5,51.5,60.5,67.0
2023-06-26-09:30,46,45,54,66,52.75,50.0,60.0,66.0
2023-06-26-09:45,52,46,54,68,55.0,53.0,61.0,68.0
2023-06-26-10:00,61,52,55,61,57.25,58.0,61.0,61.0
2023-06-26-10:15,57,58,61,61,59.25,59.5,61.0,61.0
2023-06-26-10:30,62,56,62,65,61.25,62.0,63.5,65.0
2023-06-26-10:45,71,64,74,59,67.0,67.5,72.5,74.0
2023-06-26-11:00,69,71,82,62,71.0,70.0,76.5,82.0
2023-06-26-11:15,88,80,81,75,81.0,80.5,84.5,88.0
2023-06-26-11:30,77,96,98,113,96.0,97.0,105.5,113.0
2023-06-26-11:45,88,97,112,95,98.0,96.0,104.5,112.0
2023-06-26-12:00,78,93,111,96,94.5,94.5,103.5,111.0
2023-06-26-12:15,87,94,107,100,97.0,97.0,103.5,107.0
2023-06-26-12:30,83,95,105,114,99.25,100.0,109.5,114.0
2023-06-26-12:45,72,92,98,99,90.25,95.0,98.5,99.0
2023-06-26-13:00,75,83,99,97,88.5,90.0,98.0,99.0
2023-06-26-13:15,78,86,95,90,87.25,88.0,92.5,95.0
2023-06-26-13:30,70,85,90,88,83.25,86.5,89.0,90.0
2023-06-26-13:45,79,89,86,85,84.75,85.5,87.5,89.0
2023-06-26-14:00,101,113,86,88,97.0,94.5,107.0,113.0
2023-06-26-14:15,95,120,86,88,97.25,91.5,107.5,120.0
2023-06-26-14:30,97,119,84,91,97.75,94.0,108.0,119.0
2023-06-26-14:45,67,119,89,90,91.25,89.5,104.5,119.0
2023-06-26-15:00,79,87,94,91,87.75,89.0,92.5,94.0
2023-06-26-15:15,72,88,88,90,84.5,88.0,89.0,90.0
2023-06-26-15:30,70,85,84,93,83.0,84.5,89.0,93.0
2023-06-26-15:45,68,88,82,94,83.0,85.0,91.0,94.0
2023-06-26-16:00,62,89,77,88,79.0,82.5,88.5,89.0
2023-06-26-16:15,69,71,73,71,71.0,71.0,72.0,73.0
2023-06-26-16:30,69,74,70,71,71.0,70.5,72.5,74.0
2023-06-26-16:45,67,73,70,71,70.25,70.5,72.0,73.0
2023-06-26-17:00,62,66,58,75,65.25,64.0,70.5,75.0
2023-06-26-17:15,58,67,59,76,65.0,63.0,71.5,76.0
2023-06-26-17:30,50,66,60,75,62.75,63.0,70.5,75.0
2023-06-26-17:45,52,60,60,73,61.25,60.0,66.5,73.0
2023-06-26-18:00,54,48,60,58,55.0,56.0,59.0,60.0
2023-06-26-18:15,65,48,57,53,55.75,55.0,61.0,65.0
2023-06-26-18:30,60,48,57,59,56.0,58.0,59.5,60.0
2023-06-26-18:45,63,48,55,54,55.0,54.5,59.0,63.0
2023-06-26-19:00,54,54,55,57,55.0,54.5,56.0,57.0
2023-06-26-19:15,53,46,58,56,53.25,54.5,57.0,58.0
2023-06-26-19:30,48,42,63,62,53.75,55.0,62.5,63.0
2023-06-26-19:45,44,43,63,62,53.0,53.0,62.5,63.0
2023-06-26-20:00,40,34,39,34,36.75,36.5,39.5,40.0
2023-06-26-20:15,31,35,32,33,32.75,32.5,34.0,35.0
2023-06-26-20:30,30,34,30,30,31.0,30.0,32.0,34.0
2023-06-26-20:45,33,31,30,30,31.0,30.5,32.0,33.0
2023-06-26-21:00,39,29,34,29,32.75,31.5,36.5,39.0
2023-06-26-21:15,24,28,34,27,28.25,27.5,31.0,34.0
2023-06-26-21:30,33,25,30,25,28.25,27.5,31.5,33.0
2023-06-26-21:45,34,24,29,25,28.0,27.0,31.5,34.0
2023-06-26-22:00,25,25,28,25,25.75,25.0,26.5,28.0
2023-06-26-22:15,24,24,22,25,23.75,24.0,24.5,25.0
2023-06-26-22:30,25,24,22,25,24.0,24.5,25.0,25.0
2023-06-26-22:45,24,24,22,25,23.75,24.0,24.5,25.0
2023-06-26-23:00,28,23,22,25,24.5,24.0,26.5,28.0
2023-06-26-23:15,28,23,20,24,23.75,23.5,26.0,28.0
2023-06-26-23:30,28,23,19,24,23.5,23.5,26.0,28.0
2023-06-26-23:45,28,23,20,24,23.75,23.5,26.0,28.0
2023-06-27-00:00,24,24,22,33,25.75,24.0,28.5,33.0
2023-06-27-00:15,21,23,21,32,24.25,22.0,27.5,32.0
2023-06-27-00:30,22,23,21,32,24.5,22.5,27.5,32.0
2023-06-27-00:45,22,23,21,28,23.5,22.5,25.5,28.0
2023-06-27-01:00,24,23,22,32,25.25,23.5,28.0,32.0
2023-06-27-01:15,23,23,22,32,25.0,23.0,27.5,32.0
2023-06-27-01:30,23,21,22,32,24.5,22.5,27.5,32.0
2023-06-27-01:45,23,21,20,32,24.0,22.0,27.5,32.0
2023-06-27-02:00,21,22,20,33,24.0,21.5,27.5,33.0
2023-06-27-02:15,21,22,20,34,24.25,21.5,28.0,34.0
2023-06-27-02:30,22,22,21,33,24.5,22.0,27.5,33.0
2023-06-27-02:45,22,22,21,34,24.75,22.0,28.0,34.0
2023-06-27-03:00,21,22,20,45,27.0,21.5,33.5,45.0
2023-06-27-03:15,21,21,20,45,26.75,21.0,33.0,45.0
2023-06-27-03:30,21,21,19,45,26.5,21.0,33.0,45.0
2023-06-27-03:45,21,21,19,45,26.5,21.0,33.0,45.0
2023-06-27-04:00,22,21,20,25,22.0,21.5,23.5,25.0
2023-06-27-04:15,21,21,20,25,21.75,21.0,23.0,25.0
2023-06-27-04:30,21,22,20,25,22.0,21.5,23.5,25.0
2023-06-27-04:45,21,23,21,25,22.5,22.0,24.0,25.0
2023-06-27-05:00,21,40,21,40,30.5,30.5,40.0,40.0
2023-06-27-05:15,21,40,21,40,30.5,30.5,40.0,40.0
2023-06-27-05:30,20,40,21,40,30.25,30.5,40.0,40.0
2023-06-27-05:45,21,41,21,40,30.75,30.5,40.5,41.0
2023-06-27-06:00,21,21,21,21,21.0,21.0,21.0,21.0
2023-06-27-06:15,21,21,21,21,21.0,21.0,21.0,21.0
2023-06-27-06:30,21,24,21,20,21.5,21.0,22.5,24.0
2023-06-27-06:45,21,24,21,20,21.5,21.0,22.5,24.0
2023-06-27-07:00,23,21,20,21,21.25,21.0,22.0,23.0
2023-06-27-07:15,24,21,20,21,21.5,21.0,22.5,24.0
2023-06-27-07:30,23,24,22,23,23.0,23.0,23.5,24.0
2023-06-27-07:45,22,23,22,23,22.5,22.5,23.0,23.0
2023-06-27-08:00,27,27,42,30,31.5,28.5,36.0,42.0
2023-06-27-08:15,31,28,41,32,33.0,31.5,36.5,41.0
2023-06-27-08:30,31,31,40,33,33.75,32.0,36.5,40.0
2023-06-27-08:45,30,34,37,39,35.0,35.5,38.0,39.0
2023-06-27-09:00,33,37,52,59,45.25,44.5,55.5,59.0
2023-06-27-09:15,36,43,50,59,47.0,46.5,54.5,59.0
2023-06-27-09:30,41,44,52,56,48.25,48.0,54.0,56.0
2023-06-27-09:45,50,49,51,59,52.25,50.5,55.0,59.0
2023-06-27-10:00,47,51,54,80,58.0,52.5,67.0,80.0
2023-06-27-10:15,55,51,59,75,60.0,57.0,67.0,75.0
2023-06-27-10:30,62,59,66,78,66.25,64.0,72.0,78.0
2023-06-27-10:45,67,66,70,65,67.0,66.5,68.5,70.0
2023-06-27-11:00,71,69,70,68,69.5,69.5,70.5,71.0
2023-06-27-11:15,77,75,76,76,76.0,76.0,76.5,77.0
2023-06-27-11:30,87,96,91,101,93.75,93.5,98.5,101.0
2023-06-27-11:45,96,101,100,110,101.75,100.5,105.5,110.0
2023-06-27-12:00,103,106,100,112,105.25,104.5,109.0,112.0
2023-06-27-12:15,84,105,95,102,96.5,98.5,103.5,105.0
2023-06-27-12:30,92,104,97,102,98.75,99.5,103.0,104.0
2023-06-27-12:45,84,92,93,95,91.0,92.5,94.0,95.0
2023-06-27-13:00,72,91,91,101,88.75,91.0,96.0,101.0
2023-06-27-13:15,69,93,90,101,88.25,91.5,97.0,101.0
2023-06-27-13:30,71,92,93,101,89.25,92.5,97.0,101.0
2023-06-27-13:45,69,92,91,89,85.25,90.0,91.5,92.0
2023-06-27-14:00,62,81,86,85,78.5,83.0,85.5,86.0
2023-06-27-14:15,63,79,86,85,78.25,82.0,85.5,86.0
2023-06-27-14:30,62,81,83,85,77.75,82.0,84.0,85.0
2023-06-27-14:45,65,74,83,81,75.75,77.5,82.0,83.0
2023-06-27-15:00,60,73,83,81,74.25,77.0,82.0,83.0
2023-06-27-15:15,60,69,82,73,71.0,71.0,77.5,82.0
2023-06-27-15:30,60,69,79,73,70.25,71.0,76.0,79.0
2023-06-27-15:45,60,67,80,73,70.0,70.0,76.5,80.0
2023-06-27-16:00,60,68,70,66,66.0,67.0,69.0,70.0
2023-06-27-16:15,60,70,67,65,65.5,66.0,68.5,70.0
2023-06-27-16:30,61,61,62,58,60.5,61.0,61.5,62.0
2023-06-27-16:45,62,61,60,55,59.5,60.5,61.5,62.0
2023-06-27-17:00,58,52,58,64,58.0,58.0,61.0,64.0
2023-06-27-17:15,57,55,55,63,57.5,56.0,60.0,63.0
2023-06-27-17:30,58,56,60,62,59.0,59.0,61.0,62.0
2023-06-27-17:45,57,68,62,63,62.5,62.5,65.5,68.0
2023-06-27-18:00,63,53,59,56,57.75,57.5,61.0,63.0
2023-06-27-18:15,63,53,58,54,57.0,56.0,60.5,63.0
2023-06-27-18:30,51,53,55,52,52.75,52.5,54.0,55.0
2023-06-27-18:45,63,52,58,53,56.5,55.5,60.5,63.0
2023-06-27-19:00,59,54,63,54,57.5,56.5,61.0,63.0
2023-06-27-19:15,48,53,65,52,54.5,52.5,59.0,65.0
2023-06-27-19:30,50,54,62,52,54.5,53.0,58.0,62.0
2023-06-27-19:45,43,48,62,58,52.75,53.0,60.0,62.0
2023-06-27-20:00,35,49,52,49,46.25,49.0,50.5,52.0
2023-06-27-20:15,37,44,43,44,42.0,43.5,44.0,44.0
2023-06-27-20:30,26,44,38,42,37.5,40.0,43.0,44.0
2023-06-27-20:45,32,43,41,46,40.5,42.0,44.5,46.0
2023-06-27-21:00,27,41,45,37,37.5,39.0,43.0,45.0
2023-06-27-21:15,27,39,42,38,36.5,38.5,40.5,42.0
2023-06-27-21:30,27,39,38,34,34.5,36.0,38.5,39.0
2023-06-27-21:45,28,31,33,30,30.5,30.5,32.0,33.0
2023-06-27-22:00,26,31,31,30,29.5,30.5,31.0,31.0
2023-06-27-22:15,26,29,26,28,27.25,27.0,28.5,29.0
2023-06-27-22:30,23,29,26,28,26.5,27.0,28.5,29.0
2023-06-27-22:45,24,29,25,26,26.0,25.5,27.5,29.0
2023-06-27-23:00,23,27,24,26,25.0,25.0,26.5,27.0
2023-06-27-23:15,25,27,24,25,25.25,25.0,26.0,27.0
2023-06-27-23:30,24,27,23,24,24.5,24.0,25.5,27.0
2023-06-27-23:45,24,27,23,24,24.5,24.0,25.5,27.0
2023-06-28-00:00,24,22,23,33,25.5,23.5,28.5,33.0
2023-06-28-00:15,24,22,23,29,24.5,23.5,26.5,29.0
2023-06-28-00:30,24,22,23,29,24.5,23.5,26.5,29.0
2023-06-28-00:45,23,22,23,29,24.25,23.0,26.0,29.0
2023-06-28-01:00,23,21,23,35,25.5,23.0,29.0,35.0
2023-06-28-01:15,23,20,23,35,25.25,23.0,29.0,35.0
2023-06-28-01:30,22,20,24,35,25.25,23.0,29.5,35.0
2023-06-28-01:45,22,20,23,35,25.0,22.5,29.0,35.0
2023-06-28-02:00,23,22,23,32,25.0,23.0,27.5,32.0
2023-06-28-02:15,23,22,23,31,24.75,23.0,27.0,31.0
2023-06-28-02:30,23,22,23,31,24.75,23.0,27.0,31.0
2023-06-28-02:45,23,21,22,31,24.25,22.5,27.0,31.0
