,high_mean
2023-06-27-13:15,69
2023-06-27-13:30,68
2023-06-27-13:45,65
2023-06-27-14:00,75
2023-06-27-14:15,75
2023-06-27-14:30,75
2023-06-27-14:45,75
2023-06-27-15:00,76
2023-06-27-15:15,64
2023-06-27-15:30,64
2023-06-27-15:45,64
2023-06-27-16:00,64
2023-06-27-16:15,64
2023-06-27-16:30,62
2023-06-27-16:45,63
2023-06-27-17:00,59
2023-06-27-17:15,56
2023-06-27-17:30,54
2023-06-27-17:45,48
2023-06-27-18:00,47
2023-06-27-18:15,43
2023-06-27-18:30,46
2023-06-27-18:45,45
2023-06-27-19:00,36
2023-06-27-19:15,35
2023-06-27-19:30,33
2023-06-27-19:45,25
2023-06-27-20:00,15
2023-06-27-20:15,14
2023-06-27-20:30,13
2023-06-27-20:45,13
2023-06-27-21:00,12
2023-06-27-21:15,11
2023-06-27-21:30,10
2023-06-27-21:45,9
2023-06-27-22:00,10
2023-06-27-22:15,9
2023-06-27-22:30,8
2023-06-27-22:45,8
2023-06-27-23:00,10
2023-06-27-23:15,10
2023-06-27-23:30,8
2023-06-27-23:45,11
2023-06-28-00:00,9
2023-06-28-00:15,9
2023-06-28-00:30,9
2023-06-28-00:45,8
2023-06-28-01:00,8
2023-06-28-01:15,8
2023-06-28-01:30,10
2023-06-28-01:45,10
2023-06-28-02:00,10
2023-06-28-02:15,9
2023-06-28-02:30,9
2023-06-28-02:45,9
2023-06-28-03:00,10
2023-06-28-03:15,10
2023-06-28-03:30,10
2023-06-28-03:45,10
2023-06-28-04:00,11
2023-06-28-04:15,11
2023-06-28-04:30,11
2023-06-28-04:45,10
2023-06-28-05:00,10
2023-06-28-05:15,10
2023-06-28-05:30,10
2023-06-28-05:45,10
2023-06-28-06:00,11
2023-06-28-06:15,11
2023-06-28-06:30,10
2023-06-28-06:45,9
2023-06-28-07:00,13
2023-06-28-07:15,13
2023-06-28-07:30,15
2023-06-28-07:45,16
2023-06-28-08:00,23
2023-06-28-08:15,24
2023-06-28-08:30,29
2023-06-28-08:45,43
2023-06-28-09:00,64
2023-06-28-09:15,64
2023-06-28-09:30,65
2023-06-28-09:45,67
2023-06-28-10:00,69
2023-06-28-10:15,69
2023-06-28-10:30,72
2023-06-28-10:45,73
2023-06-28-11:00,79
2023-06-28-11:15,80
2023-06-28-11:30,81
2023-06-28-11:45,88
2023-06-28-12:00,86
2023-06-28-12:15,92
2023-06-28-12:30,85
2023-06-28-12:45,89
2023-06-28-13:00,82
2023-06-28-13:15,83
2023-06-28-13:30,83
2023-06-28-13:45,74
2023-06-28-14:00,77
2023-06-28-14:15,78
2023-06-28-14:30,74
2023-06-28-14:45,78
2023-06-28-15:00,78
2023-06-28-15:15,75
2023-06-28-15:30,71
2023-06-28-15:45,72
2023-06-28-16:00,72
2023-06-28-16:15,78
2023-06-28-16:30,77
2023-06-28-16:45,77
2023-06-28-17:00,71
2023-06-28-17:15,66
2023-06-28-17:30,67
2023-06-28-17:45,63
2023-06-28-18:00,51
2023-06-28-18:15,47
2023-06-28-18:30,44
2023-06-28-18:45,42
2023-06-28-19:00,38
2023-06-28-19:15,39
2023-06-28-19:30,32
2023-06-28-19:45,27
2023-06-28-20:00,17
2023-06-28-20:15,18
2023-06-28-20:30,16
2023-06-28-20:45,16
2023-06-28-21:00,12
2023-06-28-21:15,12
2023-06-28-21:30,11
2023-06-28-21:45,10
2023-06-28-22:00,9
2023-06-28-22:15,8
2023-06-28-22:30,8
2023-06-28-22:45,7
2023-06-28-23:00,8
2023-06-28-23:15,8
2023-06-28-23:30,8
2023-06-28-23:45,8
2023-06-29-00:00,7
2023-06-29-00:15,7
2023-06-29-00:30,6
2023-06-29-00:45,6
2023-06-29-01:00,6
2023-06-29-01:15,6
2023-06-29-01:30,6
2023-06-29-01:45,6
2023-06-29-02:00,6
2023-06-29-02:15,6
2023-06-29-02:30,6
2023-06-29-02:45,6
2023-06-29-03:00,7
2023-06-29-03:15,7
2023-06-29-03:30,7
2023-06-29-03:45,7
2023-06-29-04:00,8
2023-06-29-04:15,8
2023-06-29-04:30,8
2023-06-29-04:45,10
2023-06-29-05:00,10
2023-06-29-05:15,10
2023-06-29-05:30,11
2023-06-29-05:45,10
2023-06-29-06:00,11
2023-06-29-06:15,11
2023-06-29-06:30,12
2023-06-29-06:45,12
2023-06-29-07:00,13
2023-06-29-07:15,14
2023-06-29-07:30,15
2023-06-29-07:45,15
