,high_mean
2023-06-28-10:45,457
2023-06-28-11:00,456
2023-06-28-11:15,456
2023-06-28-11:30,456
2023-06-28-11:45,452
2023-06-28-12:00,443
2023-06-28-12:15,436
2023-06-28-12:30,439
2023-06-28-12:45,439
2023-06-28-13:00,455
2023-06-28-13:15,458
2023-06-28-13:30,455
2023-06-28-13:45,455
2023-06-28-14:00,455
2023-06-28-14:15,448
2023-06-28-14:30,448
2023-06-28-14:45,448
2023-06-28-15:00,447
2023-06-28-15:15,447
2023-06-28-15:30,447
2023-06-28-15:45,447
2023-06-28-16:00,431
2023-06-28-16:15,429
2023-06-28-16:30,429
2023-06-28-16:45,429
2023-06-28-17:00,434
2023-06-28-17:15,434
2023-06-28-17:30,434
2023-06-28-17:45,434
2023-06-28-18:00,410
2023-06-28-18:15,410
2023-06-28-18:30,410
2023-06-28-18:45,413
2023-06-28-19:00,439
2023-06-28-19:15,437
2023-06-28-19:30,422
2023-06-28-19:45,422
2023-06-28-20:00,406
2023-06-28-20:15,406
2023-06-28-20:30,402
2023-06-28-20:45,402
2023-06-28-21:00,397
2023-06-28-21:15,397
2023-06-28-21:30,397
2023-06-28-21:45,397
2023-06-28-22:00,350
2023-06-28-22:15,352
2023-06-28-22:30,352
2023-06-28-22:45,345
2023-06-28-23:00,333
2023-06-28-23:15,334
2023-06-28-23:30,334
2023-06-28-23:45,332
2023-06-29-00:00,339
2023-06-29-00:15,339
2023-06-29-00:30,336
2023-06-29-00:45,336
2023-06-29-01:00,333
2023-06-29-01:15,332
2023-06-29-01:30,332
2023-06-29-01:45,332
2023-06-29-02:00,331
2023-06-29-02:15,331
2023-06-29-02:30,331
2023-06-29-02:45,331
2023-06-29-03:00,329
2023-06-29-03:15,329
2023-06-29-03:30,326
2023-06-29-03:45,327
2023-06-29-04:00,317
2023-06-29-04:15,317
2023-06-29-04:30,317
2023-06-29-04:45,317
2023-06-29-05:00,324
2023-06-29-05:15,324
2023-06-29-05:30,324
2023-06-29-05:45,324
2023-06-29-06:00,324
2023-06-29-06:15,324
2023-06-29-06:30,327
2023-06-29-06:45,334
2023-06-29-07:00,335
2023-06-29-07:15,327
2023-06-29-07:30,332
2023-06-29-07:45,332
2023-06-29-08:00,340
2023-06-29-08:15,358
2023-06-29-08:30,363
2023-06-29-08:45,367
2023-06-29-09:00,397
2023-06-29-09:15,398
2023-06-29-09:30,393
2023-06-29-09:45,397
2023-06-29-10:00,374
2023-06-29-10:15,374
2023-06-29-10:30,363
2023-06-29-10:45,365
2023-06-29-11:00,377
2023-06-29-11:15,376
2023-06-29-11:30,376
2023-06-29-11:45,376
2023-06-29-12:00,395
2023-06-29-12:15,406
2023-06-29-12:30,406
2023-06-29-12:45,406
2023-06-29-13:00,389
2023-06-29-13:15,391
2023-06-29-13:30,391
2023-06-29-13:45,391
2023-06-29-14:00,371
2023-06-29-14:15,378
2023-06-29-14:30,378
2023-06-29-14:45,378
2023-06-29-15:00,377
2023-06-29-15:15,377
2023-06-29-15:30,377
2023-06-29-15:45,377
2023-06-29-16:00,356
2023-06-29-16:15,350
2023-06-29-16:30,350
2023-06-29-16:45,350
2023-06-29-17:00,376
2023-06-29-17:15,376
2023-06-29-17:30,376
2023-06-29-17:45,376
2023-06-29-18:00,380
2023-06-29-18:15,380
2023-06-29-18:30,387
2023-06-29-18:45,388
2023-06-29-19:00,393
2023-06-29-19:15,391
2023-06-29-19:30,391
2023-06-29-19:45,391
2023-06-29-20:00,389
2023-06-29-20:15,389
2023-06-29-20:30,391
2023-06-29-20:45,391
2023-06-29-21:00,387
2023-06-29-21:15,386
2023-06-29-21:30,386
2023-06-29-21:45,386
2023-06-29-22:00,362
2023-06-29-22:15,359
2023-06-29-22:30,356
2023-06-29-22:45,353
2023-06-29-23:00,347
2023-06-29-23:15,344
2023-06-29-23:30,344
2023-06-29-23:45,342
2023-06-30-00:00,333
2023-06-30-00:15,333
2023-06-30-00:30,330
2023-06-30-00:45,330
2023-06-30-01:00,329
2023-06-30-01:15,329
2023-06-30-01:30,329
2023-06-30-01:45,328
2023-06-30-02:00,326
2023-06-30-02:15,326
2023-06-30-02:30,326
2023-06-30-02:45,326
2023-06-30-03:00,319
2023-06-30-03:15,319
2023-06-30-03:30,319
2023-06-30-03:45,319
2023-06-30-04:00,324
2023-06-30-04:15,324
2023-06-30-04:30,324
2023-06-30-04:45,323
2023-06-30-05:00,326
2023-06-30-05:15,326
2023-06-30-05:30,326
2023-06-30-05:45,326
2023-06-30-06:00,327
2023-06-30-06:15,327
2023-06-30-06:30,327
2023-06-30-06:45,334
2023-06-30-07:00,334
2023-06-30-07:15,334
2023-06-30-07:30,336
2023-06-30-07:45,336
2023-06-30-08:00,356
2023-06-30-08:15,376
2023-06-30-08:30,381
2023-06-30-08:45,385
2023-06-30-09:00,403
2023-06-30-09:15,403
2023-06-30-09:30,412
2023-06-30-09:45,439
2023-06-30-10:00,443
2023-06-30-10:15,468
2023-06-30-10:30,468
2023-06-30-10:45,471
2023-06-30-11:00,470
2023-06-30-11:15,456
2023-06-30-11:30,456
2023-06-30-11:45,453
2023-06-30-12:00,444
2023-06-30-12:15,436
2023-06-30-12:30,440
2023-06-30-12:45,440
2023-06-30-13:00,468
2023-06-30-13:15,464
2023-06-30-13:30,461
2023-06-30-13:45,461
2023-06-30-14:00,461
2023-06-30-14:15,461
2023-06-30-14:30,461
2023-06-30-14:45,461
2023-06-30-15:00,460
2023-06-30-15:15,467
2023-06-30-15:30,467
2023-06-30-15:45,467
2023-06-30-16:00,439
2023-06-30-16:15,434
2023-06-30-16:30,434
2023-06-30-16:45,434
2023-06-30-17:00,431
2023-06-30-17:15,431
2023-06-30-17:30,431
2023-06-30-17:45,431
2023-06-30-18:00,407
2023-06-30-18:15,414
2023-06-30-18:30,414
2023-06-30-18:45,414
2023-06-30-19:00,449
2023-06-30-19:15,444
2023-06-30-19:30,444
2023-06-30-19:45,444
2023-06-30-20:00,440
2023-06-30-20:15,440
2023-06-30-20:30,425
2023-06-30-20:45,425
2023-06-30-21:00,398
2023-06-30-21:15,387
2023-06-30-21:30,385
2023-06-30-21:45,385
2023-06-30-22:00,367
2023-06-30-22:15,364
2023-06-30-22:30,361
2023-06-30-22:45,358
2023-06-30-23:00,349
2023-06-30-23:15,347
2023-06-30-23:30,347
2023-06-30-23:45,344
